station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
40913,2010-01-01,    1.4,0, 29.6,0, 23.6,0, 22.2,0, 15.8,26,  5.1,25,  5.8,26,  5.1,25, 5.7,26, 19.5,25, 53.5,26, 76.2,26,  5.0,26,  6.2,26, 3.6,26, 7.5,26, 5.6,26,1016.0,0,"name=BRISBANE                                "
40913,2010-01-02,    0.8,0, 30.8,0, 23.9,0, 24.4,0, 15.8,26,  6.9,25,  6.6,26,  6.9,25, 7.0,26, 24.5,25, 54.9,26, 82.3,26,  5.7,26,  6.8,26, 5.5,26, 8.3,26, 6.9,26,1012.5,0,"latitude= -27.4808"
40913,2010-01-03,    0.0,0, 32.2,0, 24.9,0, 27.6,0, 15.7,26,  4.2,25,  5.1,26,  4.2,25, 4.9,26, 15.0,25, 57.4,26, 87.7,26,  4.3,26,  5.3,26, 3.3,26, 6.3,26, 4.8,26,1010.7,0,"longitude= 153.0389"
40913,2010-01-04,   20.6,0, 27.7,0, 23.4,0, 23.8,0, 11.1,26,  4.4,25,  3.4,26,  4.4,25, 2.6,26,  7.9,25, 64.1,26, 82.7,26,  2.8,26,  3.7,26, 1.1,26, 4.1,26, 2.6,26,1015.8,0,"elevation=   8.1 m"
40913,2010-01-05,    0.0,0, 27.8,0, 21.1,0, 21.7,0, 12.2,26,  3.9,25,  4.4,26,  3.9,25, 4.1,26, 13.9,25, 58.1,26, 86.8,26,  3.7,26,  4.6,26, 2.7,26, 5.5,26, 4.1,26,1017.3,0,"reference=RXNVDESCLJHGFTAPWM"
40913,2010-01-06,    0.0,0, 29.3,0, 21.8,0, 25.2,0, 11.3,26,  4.0,25,  4.9,26,  4.0,25, 5.1,26, 17.1,25, 61.8,26, 96.5,26,  4.1,26,  4.8,26, 4.4,26, 5.7,26, 5.0,26,1015.5,0,"extracted=20220528"
40913,2010-01-07,    0.6,0, 28.6,0, 22.4,0, 25.8,0, 10.0,26,  4.6,25,  4.2,26,  4.6,25, 4.4,26, 14.4,25, 65.9,26, 95.3,26,  3.5,26,  4.2,26, 3.7,26, 5.0,26, 4.3,26,1014.8,0,"Please read our web site for information about the meanings of the codes, and other information"
40913,2010-01-08,    0.2,0, 30.3,0, 22.3,0, 22.0,0, 16.5,26,  5.0,25,  5.8,26,  5.0,25, 5.5,26, 18.8,25, 51.0,26, 81.7,26,  4.9,26,  6.1,26, 3.5,26, 7.2,26, 5.4,26,1017.6,0,""
40913,2010-01-09,    0.0,0, 30.2,0, 21.7,0, 24.7,0, 13.3,26,  7.1,25,  6.8,26,  7.1,25, 7.8,26, 28.1,25, 57.6,26, 95.2,26,  5.9,26,  6.7,26, 7.1,26, 8.1,26, 7.6,26,1019.2,0,""
40913,2010-01-10,    0.0,0, 30.6,0, 21.0,0, 22.2,0, 16.0,26,  7.1,25,  7.4,26,  7.1,25, 8.1,26, 29.6,25, 50.6,26, 89.3,26,  6.3,26,  7.4,26, 6.8,26, 8.9,26, 7.8,26,1017.7,0,""
